film_name,flag,link
"""Servant of the People"" Episode #1.1 (2015)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9317762
Vietnam: Fast Forward (2021),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9317733
Videodrome (1983),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9317522
Prince of Darkness (1987),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9317471
The Abyss (1989),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9317444
You're Next (2011),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9317228
"""The Peripheral"" Fuck You and Eat Shit (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9317215
"""The Peripheral"" Fuck You and Eat Shit (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9317199
Lamb (2021),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9317020
The Wonder (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9316371
Smile (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9315990
"Roman J. Israel, Esq. (2017)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9315979
Diary of a Wimpy Kid: The Long Haul (2017),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9315976
Blue Bayou (2021),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9315975
Blue Bayou (2021),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9315974
Beyond the Universe (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9315971
Three Thousand Years of Longing (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9315969
The Seven Year Itch (1955),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9315809
The Wonder (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9314179
"""Andor"" Episode #1.11 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9314041
Cocktail (1988),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9313818
City of Lies (2018),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9313815
R.I.P.D. (2013),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9312591
Classico (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9312535
The Soccer Football Movie (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9312533
Frequency (2000),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9312283
Eastern Promises (2007),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9311308
Eastern Promises (2007),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9311306
Tarzan (1999),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9311256
Believer (2018),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9311221
Believer (2018),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9311206
American Underdog (2021),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9311178
A Boy Called Christmas (2021),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9311152
48 Hrs. (1982),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9311070
